subject,body,intent
Quick Chat?,How about we meet later today?,MEETING_REQUEST
Meeting Request,Available for a quick call at 3 PM?,MEETING_REQUEST
File Request,Can you send me the proposal?,FILE_REQUEST
Thanks,"Perfect, thanks!",ACKNOWLEDGEMENT
Thanks,"Received, thank you.",ACKNOWLEDGEMENT
Quick Chat?,Are you free to chat later today?,MEETING_REQUEST
File Request,Where can I find the latest slides?,FILE_REQUEST
Don't Miss Out!,Exclusive 50% discount for you!,PROMOTION
Application Update,You have a new job referral for the Designer position.,REFERRAL
URGENT!,Make money fast online!,SPAM
Re: Update,Thanks for the update.,ACKNOWLEDGEMENT
Meeting Request,Available for a quick call around noon?,MEETING_REQUEST
Don't Miss Out!,Your weekly newsletter and promotions.,PROMOTION
Application Update,ACTION REQUIRED: New referral submission.,REFERRAL
Quick Chat?,Are you free to chat next Monday?,MEETING_REQUEST
Regarding File,Need the document for the meeting.,FILE_REQUEST
Availability,Meeting request: the project discussion.,MEETING_REQUEST
Re: Update,"Received, thank you.",ACKNOWLEDGEMENT
Don't Miss Out!,Your weekly newsletter and promotions.,PROMOTION
Application Update,ACTION REQUIRED: New referral submission.,REFERRAL
Verify Now!,Claim your free vacation now!,SPAM
Thanks,"Okay, will do.",ACKNOWLEDGEMENT
Got it,Sounds good.,ACKNOWLEDGEMENT
Weekly Deals,Flash Sale! 50% off everything!,PROMOTION
Quick Chat?,Can we schedule a call to discuss the new design?,MEETING_REQUEST
Meeting Request,Setting up a meeting for the budget.,MEETING_REQUEST
Verify Now!,Claim your free gift card now!,SPAM
New Referral,Referral received from Emma.,REFERRAL
Meeting Request,Available for a quick call sometime this week?,MEETING_REQUEST
URGENT!,Verify your bank details immediately!,SPAM
You Won!,Verify your bank details immediately!,SPAM
Quick Chat?,How about we meet sometime this week?,MEETING_REQUEST
URGENT!,Exclusive offer just for you - Limited spots!,SPAM
File Request,Where can I find the latest agenda?,FILE_REQUEST
Thanks,Thanks for the update.,ACKNOWLEDGEMENT
